times,stop_id1,longitude1,latitude1,stop_id2,longitude2,latitude2
2364,U101001,304859.93878383934,2768773.007477159,U101002,304857.0889537756,2768728.689158686
11,U101001,304859.93878383934,2768773.007477159,U101003,304622.5427749297,2768577.106528942
144,U101001,304859.93878383934,2768773.007477159,U101004,304782.34745632816,2768491.347655738
38,U101001,304859.93878383934,2768773.007477159,U101005,304800.3836423711,2768272.101008953
778,U101001,304859.93878383934,2768773.007477159,U101006,304828.42582645384,2768577.930783876
96,U101001,304859.93878383934,2768773.007477159,U101007,304827.18925120105,2768382.9756237227
899,U101001,304859.93878383934,2768773.007477159,U101013,304831.9562169339,2768704.2195321564
1,U101001,304859.93878383934,2768773.007477159,U101036,305000.7550048541,2768138.8774073054
4,U101001,304859.93878383934,2768773.007477159,U101037,304934.95705389883,2768187.350405404
23,U101001,304859.93878383934,2768773.007477159,U101038,304785.47565774847,2768214.4423564468
2,U101001,304859.93878383934,2768773.007477159,U101039,304580.5831346477,2768216.945838149
4,U101001,304859.93878383934,2768773.007477159,U101093,304909.3092171517,2768265.7812737348
1065,U101001,304859.93878383934,2768773.007477159,U101166,304960.45692086767,2768622.767883643
23,U101001,304859.93878383934,2768773.007477159,U101190,304606.75791882776,2768486.214418667
6,U101001,304859.93878383934,2768773.007477159,U101209,304653.2629303035,2768213.9131795364
1,U101001,304859.93878383934,2768773.007477159,U119049,304400.6621605508,2768031.2477738545
2,U101001,304859.93878383934,2768773.007477159,U119052,304559.4712443352,2767943.2669394603
14,U101001,304859.93878383934,2768773.007477159,U119067,304645.4013813154,2768160.7135526733
5,U101001,304859.93878383934,2768773.007477159,U119068,304675.97157807957,2768087.729499767
2,U101001,304859.93878383934,2768773.007477159,U119071,304491.0594642331,2768141.2671251013
1,U101001,304859.93878383934,2768773.007477159,U119072,304366.593607451,2767969.0827363613
1,U101001,304859.93878383934,2768773.007477159,U119075,304495.30130300473,2767836.6746926173
1,U101001,304859.93878383934,2768773.007477159,U119084,304807.5625565405,2767991.8890027944
2,U101001,304859.93878383934,2768773.007477159,U119085,304749.2153849521,2767944.0253971517
8,U101001,304859.93878383934,2768773.007477159,U119088,304849.52992343716,2768097.286044661
8,U101002,304857.0889537756,2768728.689158686,U101003,304622.5427749297,2768577.106528942
75,U101002,304857.0889537756,2768728.689158686,U101004,304782.34745632816,2768491.347655738
19,U101002,304857.0889537756,2768728.689158686,U101005,304800.3836423711,2768272.101008953
379,U101002,304857.0889537756,2768728.689158686,U101006,304828.42582645384,2768577.930783876
53,U101002,304857.0889537756,2768728.689158686,U101007,304827.18925120105,2768382.9756237227
455,U101002,304857.0889537756,2768728.689158686,U101013,304831.9562169339,2768704.2195321564
1,U101002,304857.0889537756,2768728.689158686,U101037,304934.95705389883,2768187.350405404
10,U101002,304857.0889537756,2768728.689158686,U101038,304785.47565774847,2768214.4423564468
1,U101002,304857.0889537756,2768728.689158686,U101039,304580.5831346477,2768216.945838149
1,U101002,304857.0889537756,2768728.689158686,U101093,304909.3092171517,2768265.7812737348
618,U101002,304857.0889537756,2768728.689158686,U101166,304960.45692086767,2768622.767883643
13,U101002,304857.0889537756,2768728.689158686,U101190,304606.75791882776,2768486.214418667
4,U101002,304857.0889537756,2768728.689158686,U101209,304653.2629303035,2768213.9131795364
7,U101002,304857.0889537756,2768728.689158686,U119067,304645.4013813154,2768160.7135526733
2,U101002,304857.0889537756,2768728.689158686,U119068,304675.97157807957,2768087.729499767
1,U101002,304857.0889537756,2768728.689158686,U119085,304749.2153849521,2767944.0253971517
4,U101002,304857.0889537756,2768728.689158686,U119088,304849.52992343716,2768097.286044661
222,U101003,304622.5427749297,2768577.106528942,U101004,304782.34745632816,2768491.347655738
5,U101003,304622.5427749297,2768577.106528942,U101005,304800.3836423711,2768272.101008953
34,U101003,304622.5427749297,2768577.106528942,U101006,304828.42582645384,2768577.930783876
22,U101003,304622.5427749297,2768577.106528942,U101007,304827.18925120105,2768382.9756237227
12,U101003,304622.5427749297,2768577.106528942,U101013,304831.9562169339,2768704.2195321564
1,U101003,304622.5427749297,2768577.106528942,U101036,305000.7550048541,2768138.8774073054
1,U101003,304622.5427749297,2768577.106528942,U101037,304934.95705389883,2768187.350405404
3,U101003,304622.5427749297,2768577.106528942,U101038,304785.47565774847,2768214.4423564468
1,U101003,304622.5427749297,2768577.106528942,U101039,304580.5831346477,2768216.945838149
2,U101003,304622.5427749297,2768577.106528942,U101093,304909.3092171517,2768265.7812737348
11,U101003,304622.5427749297,2768577.106528942,U101166,304960.45692086767,2768622.767883643
585,U101003,304622.5427749297,2768577.106528942,U101190,304606.75791882776,2768486.214418667
1,U101003,304622.5427749297,2768577.106528942,U101209,304653.2629303035,2768213.9131795364
1,U101003,304622.5427749297,2768577.106528942,U119049,304400.6621605508,2768031.2477738545
1,U101003,304622.5427749297,2768577.106528942,U119050,304257.745746599,2767929.8819174194
1,U101003,304622.5427749297,2768577.106528942,U119054,304539.92383030953,2768036.233267107
1,U101003,304622.5427749297,2768577.106528942,U119067,304645.4013813154,2768160.7135526733
2,U101003,304622.5427749297,2768577.106528942,U119068,304675.97157807957,2768087.729499767
1,U101003,304622.5427749297,2768577.106528942,U119083,304344.041751931,2768056.4990195655
2,U101003,304622.5427749297,2768577.106528942,U119088,304849.52992343716,2768097.286044661
103,U101004,304782.34745632816,2768491.347655738,U101005,304800.3836423711,2768272.101008953
387,U101004,304782.34745632816,2768491.347655738,U101006,304828.42582645384,2768577.930783876
288,U101004,304782.34745632816,2768491.347655738,U101007,304827.18925120105,2768382.9756237227
1,U101004,304782.34745632816,2768491.347655738,U101010,303854.83456431865,2767981.457124649
65,U101004,304782.34745632816,2768491.347655738,U101013,304831.9562169339,2768704.2195321564
1,U101004,304782.34745632816,2768491.347655738,U101033,305025.60845183476,2767731.3544056807
3,U101004,304782.34745632816,2768491.347655738,U101036,305000.7550048541,2768138.8774073054
6,U101004,304782.34745632816,2768491.347655738,U101037,304934.95705389883,2768187.350405404
38,U101004,304782.34745632816,2768491.347655738,U101038,304785.47565774847,2768214.4423564468
13,U101004,304782.34745632816,2768491.347655738,U101039,304580.5831346477,2768216.945838149
1,U101004,304782.34745632816,2768491.347655738,U101042,304975.8725117133,2767800.9376219264
1,U101004,304782.34745632816,2768491.347655738,U101092,305209.08166401193,2768286.0405381876
18,U101004,304782.34745632816,2768491.347655738,U101093,304909.3092171517,2768265.7812737348
93,U101004,304782.34745632816,2768491.347655738,U101166,304960.45692086767,2768622.767883643
429,U101004,304782.34745632816,2768491.347655738,U101190,304606.75791882776,2768486.214418667
4,U101004,304782.34745632816,2768491.347655738,U101191,305065.24971735774,2768163.505791441
15,U101004,304782.34745632816,2768491.347655738,U101209,304653.2629303035,2768213.9131795364
1,U101004,304782.34745632816,2768491.347655738,U119045,303898.4734739493,2767920.707275566
2,U101004,304782.34745632816,2768491.347655738,U119047,304342.8992766746,2767836.0681499476
7,U101004,304782.34745632816,2768491.347655738,U119049,304400.6621605508,2768031.2477738545
4,U101004,304782.34745632816,2768491.347655738,U119050,304257.745746599,2767929.8819174194
